HOUSING_ID,QUICKLY_SOLD,AREA_SQUARE_METER,PRICE_EURO,BUILDING_YEAR,NUMBER_ROOMS
166,false,149,259240,1977,1
167,true,75,766180,1974,2
168,true,121,363380,2002,2
169,true,32,427802,2014,2
170,true,139,1173810,2000,1
171,true,118,1386035,1980,3
172,false,65,1169919,1974,3
173,true,33,527135,2000,3
174,false,131,1009442,1982,2
175,false,60,921199,1999,1
176,false,58,1348002,1970,2
177,false,125,868158,2010,2
178,true,69,459760,2017,3
179,true,31,1130525,1974,2
180,false,64,760038,2018,2
181,false,125,1220826,1994,1
182,true,134,1190911,1995,3
183,true,107,953533,2020,1
184,false,73,444093,1984,3
185,false,35,1261486,1996,1
186,true,94,722022,1976,1
187,true,133,617421,2014,3
188,true,108,1458759,1990,1
189,true,70,773980,1991,2
190,false,105,260509,2005,1
191,true,82,1082332,2005,2
192,true,53,1170412,2011,3
193,false,38,410516,2019,1
194,false,106,1310349,1984,3
195,false,61,1140906,2004,1
196,true,51,1092925,1974,3
197,false,142,639237,1981,3
198,false,64,840052,2019,3
199,false,89,201061,1980,2
200,false,145,259751,2013,2
